GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US471570001001,471570001001,"Block Group 1, Census Tract 1, Shelby County, Tennessee",2002,545,1243,323,523,393,0,12,227,161,0,12,9,14,0,12,0,12,0,12
1500000US471570001002,471570001002,"Block Group 2, Census Tract 1, Shelby County, Tennessee",2630,474,1636,347,336,165,0,12,517,224,0,12,126,159,15,25,0,12,15,25
1500000US471570001003,471570001003,"Block Group 3, Census Tract 1, Shelby County, Tennessee",1797,416,1349,395,287,186,37,55,108,109,0,12,9,14,7,11,0,12,7,11
1500000US471570002001,471570002001,"Block Group 1, Census Tract 2, Shelby County, Tennessee",1000,269,4,6,968,277,17,26,0,12,0,12,0,12,11,19,0,12,11,19
1500000US471570003001,471570003001,"Block Group 1, Census Tract 3, Shelby County, Tennessee",560,167,0,12,554,166,0,12,0,12,0,12,0,12,6,11,0,12,6,11
1500000US471570003002,471570003002,"Block Group 2, Census Tract 3, Shelby County, Tennessee",354,194,0,12,354,194,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US471570004001,471570004001,"Block Group 1, Census Tract 4, Shelby County, Tennessee",451,177,37,52,414,163,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US471570004002,471570004002,"Block Group 2, Census Tract 4, Shelby County, Tennessee",1335,280,5,9,1304,273,0,12,0,12,0,12,0,12,26,30,0,12,26,30
1500000US471570006001,471570006001,"Block Group 1, Census Tract 6, Shelby County, Tennessee",891,219,1,4,890,219,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US471570006002,471570006002,"Block Group 2, Census Tract 6, Shelby County, Tennessee",969,352,0,12,969,352,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US471570007001,471570007001,"Block Group 1, Census Tract 7, Shelby County, Tennessee",2034,489,69,62,1901,509,0,12,28,46,0,12,36,56,0,12,0,12,0,12
1500000US471570007002,471570007002,"Block Group 2, Census Tract 7, Shelby County, Tennessee",1601,789,18,36,1583,791,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US471570007003,471570007003,"Block Group 3, Census Tract 7, Shelby County, Tennessee",1252,342,0,12,1177,342,0,12,75,100,0,12,0,12,0,12,0,12,0,12
1500000US471570008001,471570008001,"Block Group 1, Census Tract 8, Shelby County, Tennessee",893,278,0,12,893,278,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US471570008002,471570008002,"Block Group 2, Census Tract 8, Shelby County, Tennessee",836,260,20,27,816,257,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US471570008003,471570008003,"Block Group 3, Census Tract 8, Shelby County, Tennessee",415,164,7,11,408,165,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US471570009001,471570009001,"Block Group 1, Census Tract 9, Shelby County, Tennessee",1146,359,0,12,1146,359,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US471570009002,471570009002,"Block Group 2, Census Tract 9, Shelby County, Tennessee",803,311,0,12,803,311,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US471570009003,471570009003,"Block Group 3, Census Tract 9, Shelby County, Tennessee",1096,356,41,66,1025,361,0,12,0,12,17,27,0,12,13,21,0,12,13,21
1500000US471570011001,471570011001,"Block Group 1, Census Tract 11, Shelby County, Tennessee",1598,459,882,293,275,240,0,12,0,12,0,12,441,332,0,12,0,12,0,12
1500000US471570011002,471570011002,"Block Group 2, Census Tract 11, Shelby County, Tennessee",1006,422,98,103,908,415,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US471570011003,471570011003,"Block Group 3, Census Tract 11, Shelby County, Tennessee",885,315,324,132,390,265,0,12,0,12,0,12,103,142,68,83,7,13,61,77
1500000US471570012001,471570012001,"Block Group 1, Census Tract 12, Shelby County, Tennessee",1631,345,1427,354,190,153,0,12,0,12,0,12,7,10,7,10,0,12,7,10
1500000US471570012002,471570012002,"Block Group 2, Census Tract 12, Shelby County, Tennessee",949,407,363,248,428,303,0,12,0,12,0,12,118,196,40,64,0,12,40,64
1500000US471570012003,471570012003,"Block Group 3, Census Tract 12, Shelby County, Tennessee",851,270,581,202,213,132,0,12,0,12,0,12,30,47,27,45,0,12,27,45
1500000US471570013001,471570013001,"Block Group 1, Census Tract 13, Shelby County, Tennessee",1181,333,173,125,793,313,7,11,0,12,0,12,142,169,66,59,0,12,66,59
1500000US471570013002,471570013002,"Block Group 2, Census Tract 13, Shelby County, Tennessee",828,431,0,12,751,412,0,12,0,12,0,12,77,125,0,12,0,12,0,12
1500000US471570013003,471570013003,"Block Group 3, Census Tract 13, Shelby County, Tennessee",537,229,53,65,455,218,0,12,0,12,0,12,29,46,0,12,0,12,0,12
1500000US471570013004,471570013004,"Block Group 4, Census Tract 13, Shelby County, Tennessee",1049,319,296,167,604,268,0,12,0,12,0,12,149,182,0,12,0,12,0,12
1500000US471570014001,471570014001,"Block Group 1, Census Tract 14, Shelby County, Tennessee",1523,344,128,102,1376,330,0,12,0,12,0,12,10,19,9,13,0,12,9,13
1500000US471570015001,471570015001,"Block Group 1, Census Tract 15, Shelby County, Tennessee",656,184,93,60,536,169,0,12,18,31,0,12,0,12,9,14,0,12,9,14
1500000US471570015002,471570015002,"Block Group 2, Census Tract 15, Shelby County, Tennessee",664,155,88,51,534,157,0,12,36,42,0,12,0,12,6,9,0,12,6,9
1500000US471570016001,471570016001,"Block Group 1, Census Tract 16, Shelby County, Tennessee",2122,263,1592,256,387,185,70,91,51,30,0,12,8,13,14,15,0,12,14,15
1500000US471570016002,471570016002,"Block Group 2, Census Tract 16, Shelby County, Tennessee",1068,188,765,171,277,167,0,12,10,14,0,12,0,12,16,14,0,12,16,14
