GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US471570001001,471570001001,"Block Group 1, Census Tract 1, Shelby County, Tennessee",916,215,202,91,0,12,7,13,86,80,20,23,49,54,36,47,32,38,121,122,50,49,9,14,115,93,60,45,11,18,73,70,45,72
1500000US471570001002,471570001002,"Block Group 2, Census Tract 1, Shelby County, Tennessee",1272,202,44,44,9,15,0,12,52,61,17,19,47,45,0,12,72,70,73,61,131,105,198,120,252,137,52,40,39,37,178,115,108,80
1500000US471570001003,471570001003,"Block Group 3, Census Tract 1, Shelby County, Tennessee",889,154,101,82,54,55,19,21,0,12,16,20,0,12,53,68,64,53,0,12,10,17,156,125,51,52,44,34,97,68,41,41,183,85
1500000US471570002001,471570002001,"Block Group 1, Census Tract 2, Shelby County, Tennessee",365,55,82,43,67,37,40,29,23,20,35,37,22,19,21,32,14,14,0,12,7,11,48,41,6,9,0,12,0,12,0,12,0,12
1500000US471570003001,471570003001,"Block Group 1, Census Tract 3, Shelby County, Tennessee",215,61,64,49,25,19,8,9,6,7,61,51,2,3,2,3,0,12,0,12,20,27,8,14,19,18,0,12,0,12,0,12,0,12
1500000US471570003002,471570003002,"Block Group 2, Census Tract 3, Shelby County, Tennessee",98,49,0,12,15,15,20,29,2,4,19,30,6,11,4,7,0,12,21,19,0,12,0,12,6,9,5,8,0,12,0,12,0,12
1500000US471570004001,471570004001,"Block Group 1, Census Tract 4, Shelby County, Tennessee",179,60,55,41,17,18,17,21,15,22,13,16,0,12,0,12,32,42,3,5,10,16,0,12,5,7,0,12,12,16,0,12,0,12
1500000US471570004002,471570004002,"Block Group 2, Census Tract 4, Shelby County, Tennessee",479,76,105,54,62,31,57,39,44,36,64,46,26,25,38,33,13,18,19,24,17,23,30,27,4,6,0,12,0,12,0,12,0,12
1500000US471570006001,471570006001,"Block Group 1, Census Tract 6, Shelby County, Tennessee",386,76,134,61,62,40,37,28,58,42,5,8,13,13,11,12,34,35,0,12,0,12,0,12,23,29,0,12,9,14,0,12,0,12
